date,ibudarhus,utlan_heimila,max_hlutfall,laegstu_vextir,greidd_husaleiga,utborgad,utlan_breyting,utlan_hrodun,d_hus,d_utb,d_leiga
2001-08-01,149.75626568812189,627641.4180000001,0.65,0.051,149.5,129209.9296,0.15826662930119229,0.014143704136413637,-0.01688374282805516,-4.4705979188019995e-4,0.0074123989218328745
2001-09-01,150.44728579374885,639481.6259999999,0.65,0.051,149.7,132157.24,0.14629475181284946,-0.01197187748834283,0.0046142984565737954,0.022810246930124345,0.0013377926421402897
2001-10-01,151.88500793374172,648803.421,0.65,0.051,149.9,135046.76,0.15286858988631247,0.006573838073463012,0.00955631823071812,0.0218642580610795,0.0013360053440214514
2001-11-01,152.8279175794621,653413.3049999999,0.65,0.051,150.5,141808.2368,0.1405248897618474,-0.012343700124465062,0.006208049487884448,0.050067671375455536,0.004002668445630464
2001-12-01,153.99193463052018,656263.571,0.65,0.051,150.8,137762.9088,0.15707279447457423,0.016547904712726824,0.007616521048602554,-0.02852674915989084,0.0019933554817277432
2002-01-01,155.00222688580945,678978.702,0.65,0.051,152.3,139105.12,0.18269749312662253,0.025624698652048306,0.0065606829196172,0.009742906938387641,0.009946949602122057
2002-02-01,156.24714582596616,682365.5549999999,0.65,0.051,152.3,139511.1312,0.17687619466875648,-0.005821298457866053,0.008031619707463022,0.0029187365641178964,0
2002-03-01,156.60172976501084,682897.365,0.65,0.051,152.3,139221.1232,0.16893414490780811,-0.007942049760948366,0.0022693786639766955,-0.002078744523863474,0
2002-04-01,153.9861825591189,688795.257,0.65,0.051,158.6,141019.1728,0.15792305683463415,-0.011011088073173969,-0.01670190495224233,0.012915063164782747,0.04136572554169393
2002-05-01,157.89135701060252,687694.907,0.65,0.051,158.8,140149.1488,0.13923109505217957,-0.01869196178245458,0.025360551099994577,-0.00616954406074921,0.0012610340479193294
2002-06-01,155.94987627272198,698486.298,0.65,0.051,158.8,136437.0464,0.13744337427930797,-0.0017877207728715927,-0.012296307883085555,-0.026486799468881328,0
2002-07-01,158.01150353948626,705090.817,0.65,0.051,161.2,136437.0464,0.1367296054526692,-7.13768826638761e-4,0.013219807004905437,0,0.015113350125944391
2002-08-01,158.9039500648564,704074.581,0.65,0.051,161.3,136205.03999999998,0.1217783925789293,-0.014951212873739905,0.0056479845161849784,-0.0017004648379724818,6.203473945409765e-4
2002-09-01,160.57535184189115,711804.3490013999,0.65,0.051,162.8,140845.168,0.11309585773993769,-0.008682534838991618,0.01051831484587118,0.03406722688088504,0.00929944203347799
2002-10-01,163.72191965747564,722911.656154,0.65,0.051,163.2,142875.224,0.11422294142619815,0.001127083686260466,0.01959558412602913,0.014413387614405027,0.002457002457002311
2002-11-01,164.36733335424088,727537.7274388,0.65,0.051,163.5,151285.456,0.11344186271015722,-7.810787160409394e-4,0.003942133699113226,0.058864173679265885,0.0018382352941177516
2002-12-01,165.56731067977603,731791.955209,0.65,0.051,169.2,141193.1776,0.11508849118946451,0.0016466284793072994,0.007300582792500343,-0.06671016941641772,0.03486238532110075
2003-01-01,168.9735901790322,736781.5912369,0.65,0.051,169.3,147042.416,0.0851321095442843,-0.02995638164518022,0.02057338181837265,0.04142720278291967,5.910165484634966e-4
2003-02-01,170.17202581109905,739792.1735451,0.65,0.051,169.6,147448.36,0.08415814386337273,-9.739656809115704e-4,0.0070924434451389295,0.0027607272176484177,0.0017720023626697223
2003-03-01,173.52485230526437,753751.6289823,0.65,0.051,174.4,147796.312,0.10375536297800769,0.019597219114634967,0.019702571431377214,0.002359822788127408,0.028301886792452935
2003-04-01,171.8342886844992,754513.3035591,0.65,0.051,175.1,148956.152,0.0954101322435501,-0.008345230734457587,-0.00974248701731284,0.007847557116310133,0.004013761467889898
2003-05-01,175.93678328885642,764804.8958516,0.65,0.051,175.2,149768.03999999998,0.11212819531845097,0.01671806307490087,0.0238747146204894,0.005450516739986533,5.711022272987254e-4
2003-06-01,179.08457315890521,775825.1845275,0.65,0.051,175.8,147564.34399999998,0.11072355570745929,-0.001404639610991687,0.017891596124505194,-0.014714060489808056,0.0034246575342467
2003-07-01,179.98511900888795,780827.516168,0.65,0.051,175.9,142751.008,0.10741410516483851,-0.003309450542620773,0.005028606507516686,-0.03261855723087126,5.688282138793799e-4
2003-08-01,182.611688874904,784296.7930791,0.65,0.051,175.8,143736.872,0.11393993512045286,0.006525829955614348,0.014593261267818125,0.006906178904179772,-5.685048322910946e-4
2003-09-01,180.8487049708918,726359.7478334,0.65,0.051,177.2,150637.91999999998,0.020448594971947065,-0.0934913401485058,-0.00965427741714775,0.04801167511144944,0.00796359499431154
