arma_dags,midgildi,medaltal,neysluverdsvisitala,year,tax1,tax2,tax3,kr1,kr2,pers_afsl,lif_sjod,vr,skattleysismork,skattur,utborgad,utborgad_fast
1998-05-01,131600,148400.97940766762,183.7,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,25936.307199999996,99083.6928,539.3777506804573
1998-06-01,130000,145240.65349628887,184,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,25336.96,98163.04000000001,533.4947826086957
1998-07-01,131950,147110.52038043478,183.6,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,26067.4144,99285.08559999999,540.7684400871459
1998-08-01,127200,141839.46157434402,182.6,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,24288.102399999996,96551.8976,528.7617612267251
1998-09-01,138100,153597.05090193506,182.8,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,28371.1552,102823.84479999999,562.493680525164
1998-10-01,140000,154443.00417329094,183.6,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,29082.879999999997,103917.12,565.997385620915
1998-11-01,144700,160096.7190230215,184.1,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,30843.462399999997,106621.53760000001,579.15012275937
1998-12-01,150000,231150.66860019174,183.7,1998,0.3902,0.3902,0.3902,0,0,23360,0.04,0.01,62361.18229967539,32828.799999999996,109671.20000000001,597.0125204137181
1999-01-01,146700,163294.62878885592,184.8,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,30665.9888,108699.01120000001,588.1981125541125
1999-02-01,148700,163422.94887576936,184.5,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,31402.116800000003,109862.8832,595.4627815718158
1999-03-01,149400,165656.96601423487,185.4,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,31659.761600000005,110270.2384,594.7693549083064
1999-04-01,150100,166545.8574981348,186.4,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,31917.4064,110677.5936,593.76391416309
1999-05-01,150000,165866.41753965878,187.3,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,31880.600000000006,110619.4,590.6001067805659
1999-06-01,147100,164431.6144308499,188.8,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,30813.214400000004,108931.7856,576.9692033898305
1999-07-01,146800,163021.22591943957,189.5,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,30702.7952,108757.2048,573.9166480211082
1999-08-01,144400,160356.3540472879,190.2,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,29819.441600000006,107360.5584,564.4614006309148
1999-09-01,153900,170650.1451342282,191.8,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,33316.049600000006,112888.9504,588.5763837330552
1999-10-01,155300,173868.97213567692,193.3,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,33831.3392,113703.6608,588.2238013450594
1999-11-01,161500,178295.6455360302,193.3,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,36113.336,117311.66399999999,606.8891050181065
1999-12-01,170000,259836.59526453735,194,1999,0.3834,0.3834,0.3834,0,0,23329,0.04,0.01,63382.998608937574,39241.880000000005,122258.12,630.1964948453608
2000-01-01,156700,172632.77744001738,195.5,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,33360.2584,115504.74160000001,590.8170925831203
2000-02-01,157300,175967.07073727707,194.9,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,33581.2696,115853.7304,594.4265284761416
2000-03-01,159200,176692.57230853094,196.4,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,34281.138399999996,116958.8616,595.5135519348269
2000-04-01,160900,180747.27816582244,197.6,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,34907.3368,117947.66320000001,596.9011295546559
2000-05-01,169300,190213.30872927053,198.4,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,38001.493599999994,122833.50640000001,619.1204959677419
2000-06-01,164700,185628.09878002648,199.1,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,36307.0744,120157.9256,603.5054023103968
2000-07-01,165600,183942.0844420705,200.1,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,36638.591199999995,120681.4088,603.1054912543729
2000-08-01,160100,179252.29906803355,199.1,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,34612.6552,117482.34479999999,590.0670256152687
2000-09-01,171850,191875.20874228474,199.5,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,38940.7912,124316.7088,623.1413974937343
2000-10-01,175000,193239.94973558298,201.5,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,40101.1,126148.9,626.0491315136476
2000-11-01,180000,199094.84490377063,202.1,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,41942.86,129057.14000000001,638.5806036615538
2000-12-01,176200,200946.6290937446,202.1,2000,0.3837,0.3837,0.3837,0,0,24360.5,0.04,0.01,66133.75249761099,40543.1224,126846.8776,627.6441246907472
2001-01-01,182700,202053.8789155709,202.4,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,42736.93919999999,130828.0608,646.3836996047431
2001-02-01,181100,200679.68904629914,202.8,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,42141.58559999999,129903.41440000001,640.5493806706114
2001-03-01,180500,199950.05393071976,204,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,41918.327999999994,129556.67200000002,635.0817254901962
2001-04-01,185000,203327.20452446907,206.5,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,43592.759999999995,132157.24,639.9866343825665
2001-05-01,186700,205091.53660466956,209.4,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,44225.323199999984,133139.67680000002,635.8150754536772
2001-06-01,180000,198884.42511808834,212.6,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,41732.279999999984,129267.72000000003,608.0325493885232
2001-07-01,180000,200401.94132469402,214.2,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,41732.279999999984,129267.72000000003,603.4907563025212
