date,ibudarhus,utlan_heimila,max_hlutfall,laegstu_vextir,greidd_husaleiga,utborgad,utlan_breyting,utlan_hrodun,d_hus,d_utb,d_leiga
1999-07-01,125.11709103193061,455247.752,0.65,0.051,115.4,108757.2048,0.2915814267182739,0.011066063181718988,0.19142148967614103,0.0954032435260348,0.012280701754386003
1999-08-01,126.21395553629893,461641.393,0.65,0.051,118.5,107360.5584,0.29274528177119175,0.0011638550529178282,0.19773519168406506,0.11194664287985989,0.03947368421052633
1999-09-01,127.28636784403736,470230.434,0.65,0.051,118.6,112888.9504,0.30272919977884727,0.009983918007655523,0.17732639260874206,0.09788688236252385,0.04035087719298236
1999-10-01,128.239323236137,476038.294,0.65,0.051,118.9,113703.6608,0.29070978289779115,-0.012019416881056122,0.1968954929826645,0.09417640519675685,0.030329289428076223
1999-11-01,129.97953000457312,484350.953,0.65,0.051,119.2,117311.66399999999,0.29975458824676804,0.009044805348976892,0.22185726697330543,0.1002623544982526,0.032928942807625594
1999-12-01,131.77227797008524,484542.828,0.65,0.051,119.1,122258.12,0.27224529538033204,-0.027509292866435997,0.22174282504447462,0.11476960222920862,0.03206239168110914
2000-01-01,132.89360545130737,491817.251,0.65,0.051,119.2,115504.74160000001,0.16186615239867863,-0.11037914298165341,0.19946728053424567,0.06261078481641236,0.032928942807625594
2000-02-01,139.15455832865482,498843.76300000004,0.65,0.051,120.2,115853.7304,0.16859206319453834,0.006725910795859713,0.24217215865042108,0.054530220084375136,0.041594454072790166
2000-03-01,139.23937596902567,508181.35699999996,0.65,0.051,120.2,116958.8616,0.18636383213506913,0.017771768940530785,0.2084748820369915,0.06065664949174532,0.041594454072790166
2000-04-01,140.11360828654864,516613.478,0.65,0.051,137,117947.66320000001,0.18893883981767368,0.0025750076826045465,0.2011705894319653,0.06568691424819728,0.1871750433275563
2000-05-01,140.8930189275105,521404.79000000004,0.65,0.051,139.2,122833.50640000001,0.18476003227525717,-0.004178807542416507,0.18108131237376468,0.11041559075532881,0.20623916811091836
2000-06-01,142.27935145053033,532571.978,0.65,0.051,139.5,120157.9256,0.18562778331639107,8.677510411339018e-4,0.1698521690033119,0.10305660499519065,0.20883882149046795
2000-07-01,143.70058505874917,542144.679,0.65,0.051,139.8,120681.4088,0.1908783220087158,0.005250538692324724,0.14852882107110332,0.10964058907111585,0.21143847487001732
2000-08-01,145.377114305042,541879.911,0.65,0.051,140,117482.34479999999,0.17381135924264912,-0.017066962766066673,0.15183074397214158,0.09427844406591679,0.18143459915611815
2000-09-01,146.1016557142743,557868.406,0.65,0.051,139.7,124316.7088,0.18637239460345079,0.012561035360801664,0.14781856210471123,0.10123008814864476,0.17790893760539617
2000-10-01,145.4323812232057,562773.092,0.65,0.051,139.8,126148.9,0.18220130416650893,-0.00417109043694186,0.13407009295744476,0.10945328507839913,0.17577796467619855
2000-11-01,149.09110693832721,572905.783,0.65,0.051,140.5,129057.14000000001,0.1828319516076189,6.306474411099661e-4,0.14703528265628973,0.10012197934554945,0.17869127516778516
2000-12-01,149.36046950260163,567175.699,0.65,0.051,140.7,126846.8776,0.17053780641243965,-0.01229414519517924,0.13347414041449013,0.03753335647562728,0.18136020151133492
2001-01-01,148.04923845627133,574093.296,0.65,0.051,140.4,130828.0608,0.16728987206672818,-0.0032479343457114673,0.11404335786884068,0.13266398407318714,0.1778523489932886
2001-02-01,152.971264273722,579810.823,0.65,0.051,142.2,129903.41440000001,0.16230945639787397,-0.00498041566885421,0.0992903582248088,0.12127088140788955,0.1830282861896837
2001-03-01,152.5295462443748,584205.165,0.65,0.051,143.3,129556.67200000002,0.14959975794625624,-0.012709698451617735,0.09544836137663815,0.1077114656184377,0.1921797004991681
2001-04-01,154.31724829745505,594854.0819999999,0.65,0.051,144.5,132157.24,0.15144901813808254,0.0018492601918262963,0.1013723091183143,0.12047357628362043,0.054744525547445244
2001-05-01,149.9039346820965,603648.294,0.65,0.051,145.2,133139.67680000002,0.15773446193311713,0.006285443795034595,0.06395572912822689,0.08390357567778439,0.0431034482758621
2001-06-01,152.95222223430287,614084.458,0.65,0.051,147.4,129267.72000000003,0.15305439145729882,-0.00468007047581831,0.07501349053789741,0.07581517702233054,0.05663082437275979
2001-07-01,152.32813474055882,620280.156,0.65,0.051,148.4,129267.72000000003,0.14412292516477865,-0.008931466292520174,0.06003837547552404,0.07114858274674063,0.06151645207439205
2001-08-01,149.75626568812189,627641.4180000001,0.65,0.051,149.5,129209.9296,0.15826662930119229,0.014143704136413637,0.030122701251939832,0.09982423163212184,0.06785714285714284
2001-09-01,150.44728579374885,639481.6259999999,0.65,0.051,149.7,132157.24,0.14629475181284946,-0.01197187748834283,0.029743879754334346,0.06306900557200068,0.07158196134574091
